[2026-08-04 13:38:48,683][__main__][INFO] - Loading dataset with predictions and references ...
[2026-08-04 13:38:48,683][__main__][INFO] - Dataset config: {'predictions': {'_target_': 'kibad_llm.dataset.prediction.load_with_metadata', 'log': 'logs/574_gpt5_organism_trends/predict/multiruns/2026-08-03_02-30-39/0', 'file': None, 'id_key': 'file_name', 'process_id': {'_partial_': True, '_target_': 'kibad_llm.utils.path.strip_filename_extension'}, 'preprocess': None}, '_target_': 'kibad_llm.dataset.utils.merge_references_into_predictions', 'references': {}, 'allow_missing_references': True}
[2026-08-04 13:38:48,686][kibad_llm.dataset.json][INFO] - Loading dataset from JSON file: predictions/574_gpt5_organism_trends/2026-08-03_02-30-39/2026-08-03_02-30-40_228402/predictions.jsonl ...
[2026-08-04 13:38:48,772][__main__][INFO] - Instantiating metric ...
[2026-08-04 13:38:48,772][__main__][INFO] - Metric config: {'_target_': 'kibad_llm.metrics.ErrorCollector', 'type_separator': ': ', 'show_errors': True}
[2026-08-04 13:38:48,787][__main__][INFO] - Computing metric ...
[2026-08-04 13:38:48,788][kibad_llm.metrics.errors][INFO] - Collected error (id=26QI8J7B): ReasoningExtractionError: Could not find any ThinkingBlock content in chat response. Did you enable reasoning summaries via OpenAI Responses API, e.g. `extractor.llm.reasoning_options.summary=auto`?
[2026-08-04 13:38:48,788][kibad_llm.metrics.errors][INFO] - Collected error (id=26QI8J7B): ReasoningExtractionError: Could not find any ThinkingBlock content in chat response. Did you enable reasoning summaries via OpenAI Responses API, e.g. `extractor.llm.reasoning_options.summary=auto`?
[2026-08-04 13:38:48,788][kibad_llm.metrics.errors][INFO] - Collected error (id=26QI8J7B): ReasoningExtractionError: Could not find any ThinkingBlock content in chat response. Did you enable reasoning summaries via OpenAI Responses API, e.g. `extractor.llm.reasoning_options.summary=auto`?
[2026-08-04 13:38:48,788][kibad_llm.metrics.errors][INFO] - Collected error (id=2P53UVJA): ReasoningExtractionError: Could not find any ThinkingBlock content in chat response. Did you enable reasoning summaries via OpenAI Responses API, e.g. `extractor.llm.reasoning_options.summary=auto`?
[2026-08-04 13:38:48,788][kibad_llm.metrics.errors][INFO] - Collected error (id=2P53UVJA): ReasoningExtractionError: Could not find any ThinkingBlock content in chat response. Did you enable reasoning summaries via OpenAI Responses API, e.g. `extractor.llm.reasoning_options.summary=auto`?
[2026-08-04 13:38:48,788][kibad_llm.metrics.errors][INFO] - Collected error (id=2P53UVJA): ReasoningExtractionError: Could not find any ThinkingBlock content in chat response. Did you enable reasoning summaries via OpenAI Responses API, e.g. `extractor.llm.reasoning_options.summary=auto`?
[2026-08-04 13:38:48,788][kibad_llm.metrics.errors][INFO] - Collected error (id=2YRKD4IT): ReasoningExtractionError: Could not find any ThinkingBlock content in chat response. Did you enable reasoning summaries via OpenAI Responses API, e.g. `extractor.llm.reasoning_options.summary=auto`?
[2026-08-04 13:38:48,788][kibad_llm.metrics.errors][INFO] - Collected error (id=2ZAZMVG4): ReasoningExtractionError: Could not find any ThinkingBlock content in chat response. Did you enable reasoning summaries via OpenAI Responses API, e.g. `extractor.llm.reasoning_options.summary=auto`?
[2026-08-04 13:38:48,788][kibad_llm.metrics.errors][INFO] - Collected error (id=2ZAZMVG4): ReasoningExtractionError: Could not find any ThinkingBlock content in chat response. Did you enable reasoning summaries via OpenAI Responses API, e.g. `extractor.llm.reasoning_options.summary=auto`?
[2026-08-04 13:38:48,788][kibad_llm.metrics.errors][INFO] - Collected error (id=3439JHQD): ReasoningExtractionError: Could not find any ThinkingBlock content in chat response. Did you enable reasoning summaries via OpenAI Responses API, e.g. `extractor.llm.reasoning_options.summary=auto`?
